EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,SALARY
101,Donald,OConnell,DOCONNEL,2600
102,Douglas,Grant,DGRANT,2600
103,Jennifer,Whalen,JWHALEN,4400
104,Michael,Hartstein,MHARTSTE,13000
105,Pat,Fay,PFAY,6000
106,Susan,Mavris,SMAVRIS,6500
107,Hermann,Baer,HBAER,10000
108,Shelley,Higgins,SHIGGINS,12008
109,William,Gietz,WGIETZ,8300
110,Steven,King,SKING,24000
111,Neena,Kochhar,NKOCHHAR,17000
112,Lex,De Haan,LDEHAAN,17000
113,Alexander,Hunold,AHUNOLD,9000
114,Bruce,Ernst,BERNST,6000
115,David,Austin,DAUSTIN,4800
116,Valli,Pataballa,VPATABAL,4800
117,Diana,Lorentz,DLORENTZ,4200
118,Nancy,Greenberg,NGREENBE,12008
119,Daniel,Faviet,DFAVIET,9000
120,John,Chen,JCHEN,8200
121,Ismael,Sciarra,ISCIARRA,7700
122,Jose Manuel,Urman,JMURMAN,7800
123,Luis,Popp,LPOPP,6900
124,Den,Raphaely,DRAPHEAL,11000
125,Alexander,Khoo,AKHOO,3100
126,Shelli,Baida,SBAIDA,2900
127,Sigal,Tobias,STOBIAS,2800
128,Guy,Himuro,GHIMURO,2600
129,Karen,Colmenares,KCOLMENA,2500
130,Matthew,Weiss,MWEISS,8000
131,Adam,Fripp,AFRIPP,8200
132,Payam,Kaufling,PKAUFLIN,7900
133,Shanta,Vollman,SVOLLMAN,6500
134,Kevin,Mourgos,KMOURGOS,5800
135,Julia,Nayer,JNAYER,3200
136,Irene,Mikkilineni,IMIKKILI,2700
137,James,Landry,JLANDRY,2400
138,Steven,Markle,SMARKLE,2200
139,Laura,Bissot,LBISSOT,3300
140,Mozhe,Atkinson,MATKINSO,2800
141,James,Marlow,JAMRLOW,2500
142,TJ,Olson,TJOLSON,2100
143,Jason,Mallin,JMALLIN,3300
144,Michael,Rogers,MROGERS,2900
145,Ki,Gee,KGEE,2400
146,Hazel,Philtanker,HPHILTAN,2200
147,Renske,Ladwig,RLADWIG,3600
148,Stephen,Stiles,SSTILES,3200
149,John,Seo,JSEO,2700
150,Joshua,Patel,JPATEL,2500
