EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,DEPARTMENT,SALARY,HIRE_DATE
101,Donald,OConnell,DOCONNEL,PRODUCTION,2600,2007-06-21
102,Douglas,Grant,DGRANT,PRODUCTION,2600,2008-01-13
103,Jennifer,Whalen,JWHALEN,HR,4400,2003-09-17
104,Michael,Hartstein,MHARTSTE,ANALYTICS,13000,2004-02-17
105,Pat,Fay,PFAY,TESTING,6000,2005-08-17
106,Susan,Mavris,SMAVRIS,TESTING,6500,2002-06-07
107,Hermann,Baer,HBAER,TESTING,10000,2002-06-07
108,Shelley,Higgins,SHIGGINS,HR,12008,2002-06-07
109,William,Gietz,WGIETZ,ACCOUNTS,8300,2002-06-07
110,Steven,King,SKING,HR,24000,2003-06-17
111,Neena,Kochhar,NKOCHHAR,TESTING,17000,2005-09-21
112,Lex,De Haan,LDEHAAN,TESTING,17000,2001-01-13
113,Alexander,Hunold,AHUNOLD,HR,9000,2006-01-03
114,Bruce,Ernst,BERNST,HR,6000,2007-05-21
115,David,Austin,DAUSTIN,HR,4800,2005-06-25
116,Valli,Pataballa,VPATABAL,HR,4800,2006-02-05
117,Diana,Lorentz,DLORENTZ,HR,4200,2007-02-07
118,Nancy,Greenberg,NGREENBE,HR,12008,2002-08-17
119,Daniel,Faviet,DFAVIET,ACCOUNTS,9000,2002-08-16
120,John,Chen,JCHEN,ACCOUNTS,8200,2005-09-28
121,Ismael,Sciarra,ISCIARRA,ACCOUNTS,7700,2005-09-30
122,Jose Manuel,Urman,JMURMAN,ACCOUNTS,7800,2006-03-07
123,Luis,Popp,LPOPP,ACCOUNTS,6900,2007-12-07
124,Den,Raphaely,DRAPHEAL,ANALYTICS,11000,2002-12-07
125,Alexander,Khoo,AKHOO,PRODUCTION,3100,2003-05-18
126,Shelli,Baida,SBAIDA,PRODUCTION,2900,2005-12-24
127,Sigal,Tobias,STOBIAS,PRODUCTION,2800,2005-07-24
128,Guy,Himuro,GHIMURO,PRODUCTION,2600,2006-11-15
129,Karen,Colmenares,KCOLMENA,PRODUCTION,2500,2007-08-10
130,Matthew,Weiss,MWEISS,ANALYTICS,8000,2004-07-18
131,Adam,Fripp,AFRIPP,ANALYTICS,8200,2005-04-10
132,Payam,Kaufling,PKAUFLIN,ANALYTICS,7900,2003-05-01
133,Shanta,Vollman,SVOLLMAN,ANALYTICS,6500,2005-10-10
134,Kevin,Mourgos,KMOURGOS,ANALYTICS,5800,2007-11-16
135,Julia,Nayer,JNAYER,PRODUCTION,3200,2005-07-16
136,Irene,Mikkilineni,IMIKKILI,PRODUCTION,2700,2006-09-28
137,James,Landry,JLANDRY,PRODUCTION,2400,2007-01-14
138,Steven,Markle,SMARKLE,PRODUCTION,2200,2008-03-08
139,Laura,Bissot,LBISSOT,PRODUCTION,3300,2005-08-20
140,Mozhe,Atkinson,MATKINSO,PRODUCTION,2800,2005-10-30
141,James,Marlow,JAMRLOW,PRODUCTION,2500,2005-02-16
142,TJ,Olson,TJOLSON,PRODUCTION,2100,2007-04-10
143,Jason,Mallin,JMALLIN,PRODUCTION,3300,2004-06-14
144,Michael,Rogers,MROGERS,PRODUCTION,2900,2006-08-26
145,Ki,Gee,KGEE,PRODUCTION,2400,2007-12-12
146,Hazel,Philtanker,HPHILTAN,PRODUCTION,2200,2008-02-06
147,Renske,Ladwig,RLADWIG,PRODUCTION,3600,2003-07-14
148,Stephen,Stiles,SSTILES,PRODUCTION,3200,2005-10-26
149,John,Seo,JSEO,PRODUCTION,2700,2006-02-12
150,Joshua,Patel,JPATEL,PRODUCTION,2500,2006-04-06
